drug_code,dpd_url,pm_update_date,fetch_status,checked_on,pm_update_date_old,has_changed
88629.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=88629.0,,HTTP_400,2026-05-02,,0
88630.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=88630.0,,HTTP_400,2026-05-02,,0
89149.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=89149.0,,HTTP_400,2026-05-02,,0
89150.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=89150.0,,HTTP_400,2026-05-02,,0
89151.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=89151.0,,HTTP_400,2026-05-02,,0
89547.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=89547.0,,HTTP_400,2026-05-02,,0
89548.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=89548.0,,HTTP_400,2026-05-02,,0
89549.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=89549.0,,HTTP_400,2026-05-02,,0
89558.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=89558.0,,HTTP_400,2026-05-02,,0
89559.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=89559.0,,HTTP_400,2026-05-02,,0
89560.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=89560.0,,HTTP_400,2026-05-02,,0
89561.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=89561.0,,HTTP_400,2026-05-02,,0
89987.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=89987.0,,HTTP_400,2026-05-02,,0
89988.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=89988.0,,HTTP_400,2026-05-02,,0
90072.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90072.0,,HTTP_400,2026-05-02,,0
90073.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90073.0,,HTTP_400,2026-05-02,,0
90074.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90074.0,,HTTP_400,2026-05-02,,0
90075.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90075.0,,HTTP_400,2026-05-02,,0
90076.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90076.0,,HTTP_400,2026-05-02,,0
90077.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90077.0,,HTTP_400,2026-05-02,,0
90078.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90078.0,,HTTP_400,2026-05-02,,0
90079.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90079.0,,HTTP_400,2026-05-02,,0
90327.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90327.0,,HTTP_400,2026-05-02,,0
90328.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90328.0,,HTTP_400,2026-05-02,,0
90572.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90572.0,,HTTP_400,2026-05-02,,0
90658.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90658.0,,HTTP_400,2026-05-02,,0
90660.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90660.0,,HTTP_400,2026-05-02,,0
90695.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90695.0,,HTTP_400,2026-05-02,,0
90696.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90696.0,,HTTP_400,2026-05-02,,0
90870.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90870.0,,HTTP_400,2026-05-02,,0
90871.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90871.0,,HTTP_400,2026-05-02,,0
91060.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=91060.0,,HTTP_400,2026-05-02,,0
91148.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=91148.0,,HTTP_400,2026-05-02,,0
91325.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=91325.0,,HTTP_400,2026-05-02,,0
91539.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=91539.0,,HTTP_400,2026-05-02,,0
91540.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=91540.0,,HTTP_400,2026-05-02,,0
91541.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=91541.0,,HTTP_400,2026-05-02,,0
92194.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=92194.0,,HTTP_400,2026-05-02,,0
92195.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=92195.0,,HTTP_400,2026-05-02,,0
92207.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=92207.0,,HTTP_400,2026-05-02,,0
92372.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=92372.0,,HTTP_400,2026-05-02,,0
92373.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=92373.0,,HTTP_400,2026-05-02,,0
92754.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=92754.0,,HTTP_400,2026-05-02,,0
93136.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=93136.0,,HTTP_400,2026-05-02,,0
93137.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=93137.0,,HTTP_400,2026-05-02,,0
93169.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=93169.0,,HTTP_400,2026-05-02,,0
93170.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=93170.0,,HTTP_400,2026-05-02,,0
