drug_code,pm_update_date,detected_on,dpd_url
89150,2025-12-17,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=89150
89151,2025-12-17,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=89151
89468,2025-07-08,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=89468
89547,2023-04-24,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=89547
89548,2023-04-24,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=89548
89549,2023-04-24,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=89549
89558,2025-05-16,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=89558
89559,2025-05-16,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=89559
89560,2025-05-16,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=89560
89561,2025-05-16,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=89561
89987,2023-09-28,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=89987
89988,2023-09-28,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=89988
90072,2024-10-25,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90072
90073,2024-10-25,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90073
90074,2024-10-25,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90074
90075,2024-10-25,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90075
90076,2024-10-25,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90076
90077,2024-10-25,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90077
90078,2024-10-25,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90078
90079,2024-10-25,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90079
90327,2025-12-12,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90327
90328,2025-12-12,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90328
90466,2023-01-11,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90466
90467,2023-01-11,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90467
90536,2022-12-21,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90536
90537,2022-12-21,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90537
90572,2024-09-25,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90572
90657,2024-05-09,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90657
